# X, Y, VelX, VelY |[ 18.;130.;  0.;  0.][304.;342.;126.;106.]
0.78947,0.14035,0.00000,-0.05660
0.78947,0.12281,0.01587,-0.05660
0.79605,0.10526,0.01587,-0.01887
0.80263,0.09942,0.00000,0.00000
0.80263,0.09942,0.00000,0.00000
0.80263,0.09942,-0.01587,0.00000
0.79605,0.09942,0.00000,0.03774
0.79605,0.11111,0.00000,0.00000
0.79605,0.11111,-0.01587,0.03774
0.78947,0.12281,0.00000,0.07547
0.78947,0.14620,-0.03175,0.05660
0.77632,0.16374,0.01587,0.07547
0.78289,0.18713,0.00000,0.05660
0.78289,0.20468,-0.01587,0.09434
0.77632,0.23392,-0.03175,0.09434
0.76316,0.26316,0.00000,0.30189
0.76316,0.35673,-0.01587,0.03774
0.75658,0.36842,-0.01587,0.24528
0.75000,0.44444,-0.03175,0.30189
0.73684,0.53801,0.00000,0.07547
0.73684,0.56140,-0.03175,0.41509
0.72368,0.69006,-0.01587,0.07547
0.71711,0.71345,-0.01587,0.24528
0.71053,0.78947,0.01587,0.13208
0.71711,0.83041,0.00000,0.13208
0.71711,0.87135,0.01587,0.11321
0.72368,0.90643,0.00000,0.05660
0.72368,0.92398,0.03175,0.09434
0.73684,0.95322,0.03175,0.01887
0.75000,0.95906,0.04762,-0.01887
0.76974,0.95322,0.04762,-0.03774
0.78947,0.94152,0.03175,-0.07547
0.80263,0.91813,0.03175,-0.07547
0.81579,0.89474,0.04762,-0.09434
0.83553,0.86550,0.06349,-0.15094
0.86184,0.81871,0.03175,-0.09434
0.87500,0.78947,0.03175,-0.09434
0.88816,0.76023,0.04762,-0.15094
0.90789,0.71345,0.03175,-0.11321
0.92105,0.67836,0.04762,-0.11321
0.94079,0.64327,0.00000,-0.07547
0.94079,0.61988,0.03175,-0.09434
0.95395,0.59064,0.01587,-0.09434
0.96053,0.56140,0.01587,-0.07547
0.96711,0.53801,0.00000,-0.09434
0.96711,0.50877,0.01587,-0.07547
0.97368,0.48538,-0.01587,-0.05660
0.96711,0.46784,-0.01587,-0.03774
0.96053,0.45614,0.00000,-0.05660
0.96053,0.43860,-0.01587,-0.01887
0.95395,0.43275,-0.01587,0.00000
0.94737,0.43275,-0.04762,0.00000
0.92763,0.43275,-0.01587,0.00000
0.92105,0.43275,-0.04762,0.01887
0.90132,0.43860,-0.04762,0.03774
0.88158,0.45029,-0.04762,0.03774
0.86184,0.46199,-0.06349,0.03774
0.83553,0.47368,-0.04762,0.05660
0.81579,0.49123,-0.06349,0.05660
0.78947,0.50877,-0.07937,0.07547
0.75658,0.53216,-0.09524,0.09434
0.71711,0.56140,-0.09524,0.07547
0.67763,0.58480,-0.07937,0.07547
0.64474,0.60819,-0.09524,0.07547
0.60526,0.63158,-0.07937,0.03774
0.57237,0.64327,-0.06349,0.03774
0.54605,0.65497,-0.12698,0.09434
0.49342,0.68421,-0.09524,0.03774
0.45395,0.69591,-0.07937,0.03774
0.42105,0.70760,-0.07937,0.01887
0.38816,0.71345,-0.09524,0.01887
0.34868,0.71930,-0.07937,-0.01887
0.31579,0.71345,-0.06349,0.00000
0.28947,0.71345,-0.04762,-0.03774
0.26974,0.70175,-0.09524,-0.03774
0.23026,0.69006,-0.03175,-0.01887
0.21711,0.68421,-0.06349,-0.07547
0.19079,0.66082,-0.06349,-0.05660
0.16447,0.64327,-0.04762,-0.07547
0.14474,0.61988,-0.01587,-0.03774
0.13816,0.60819,-0.04762,-0.11321
0.11842,0.57310,-0.01587,-0.05660
0.11184,0.55556,-0.01587,-0.07547
0.10526,0.53216,-0.01587,-0.07547
0.09868,0.50877,0.00000,-0.05660
0.09868,0.49123,-0.01587,-0.07547
0.09211,0.46784,0.00000,-0.05660
0.09211,0.45029,0.00000,-0.05660
0.09211,0.43275,0.01587,-0.05660
0.09868,0.41520,0.01587,-0.01887
0.10526,0.40936,0.00000,-0.03774
0.10526,0.39766,0.00000,-0.01887
0.10526,0.39181,0.01587,0.00000
0.11184,0.39181,-0.01587,0.01887
0.10526,0.39766,0.01587,0.03774
0.11184,0.40936,0.00000,0.03774
0.11184,0.42105,-0.01587,0.07547
0.10526,0.44444,0.00000,0.05660
0.10526,0.46199,0.00000,0.13208
0.10526,0.50292,0.00000,0.13208
0.10526,0.54386,0.00000,0.05660
0.10526,0.56140,0.01587,0.13208
0.11184,0.60234,0.04762,0.16981
0.13158,0.65497,0.03175,0.11321
0.14474,0.69006,0.04762,0.09434
0.16447,0.71930,0.03175,0.09434
0.17763,0.74854,0.09524,0.13208
0.21711,0.78947,0.09524,0.09434
0.25658,0.81871,0.04762,0.03774
0.27632,0.83041,0.11111,0.05660
0.32237,0.84795,0.14286,0.03774
0.38158,0.85965,0.09524,0.01887
0.42105,0.86550,0.11111,-0.01887
0.46711,0.85965,0.07937,-0.03774
0.50000,0.84795,0.06349,-0.05660
0.52632,0.83041,0.12698,-0.11321
0.57895,0.79532,0.03175,-0.05660
0.59211,0.77778,0.09524,-0.13208
0.63158,0.73684,0.07937,-0.16981
0.66447,0.68421,0.04762,-0.13208
0.68421,0.64327,0.07937,-0.26415
0.71711,0.56140,0.03175,-0.07547
0.73026,0.53801,0.04762,-0.18868
0.75000,0.47953,0.03175,-0.15094
0.76316,0.43275,0.04762,-0.15094
0.78289,0.38596,0.01587,-0.15094
0.78947,0.33918,0.03175,-0.18868
0.80263,0.28070,0.01587,-0.07547
0.80921,0.25731,0.01587,-0.11321
0.81579,0.22222,0.01587,-0.07547
0.82237,0.19883,0.00000,-0.09434
0.82237,0.16959,0.01587,-0.03774
0.82895,0.15789,0.01587,-0.03774
0.83553,0.14620,0.00000,-0.01887
0.83553,0.14035,0.00000,-0.01887
0.83553,0.13450,0.00000,0.01887
0.83553,0.14035,-0.01587,0.00000
0.82895,0.14035,-0.01587,0.01887
0.82237,0.14620,0.00000,0.03774
0.82237,0.15789,-0.01587,0.03774
0.81579,0.16959,0.00000,0.05660
0.81579,0.18713,0.00000,0.09434
0.81579,0.21637,0.00000,0.07547
0.81579,0.23977,-0.01587,0.07547
0.80921,0.26316,-0.01587,0.13208
0.80263,0.30409,-0.01587,0.16981
0.79605,0.35673,-0.01587,0.15094
0.78947,0.40351,-0.01587,0.13208
0.78289,0.44444,-0.03175,0.13208
0.76974,0.48538,0.00000,0.15094
0.76974,0.53216,-0.01587,0.20755
0.76316,0.59649,-0.01587,0.15094
0.75658,0.64327,-0.01587,0.15094
0.75000,0.69006,-0.01587,0.13208
0.74342,0.73099,-0.01587,0.15094
0.73684,0.77778,-0.01587,0.13208
0.73026,0.81871,0.01587,0.09434
0.73684,0.84795,-0.01587,0.13208
0.73026,0.88889,0.01587,0.09434
0.73684,0.91813,-0.01587,0.05660
0.73026,0.93567,0.03175,0.05660
0.74342,0.95322,0.01587,0.01887
0.75000,0.95906,0.03175,-0.01887
0.76316,0.95322,0.03175,-0.03774
0.77632,0.94152,0.04762,-0.07547
0.79605,0.91813,0.04762,-0.11321
0.81579,0.88304,0.07937,-0.15094
0.84868,0.83626,0.03175,-0.07547
0.86184,0.81287,0.04762,-0.13208
0.88158,0.77193,0.06349,-0.16981
0.90789,0.71930,0.04762,-0.13208
0.92763,0.67836,0.03175,-0.11321
0.94079,0.64327,0.04762,-0.07547
0.96053,0.61988,0.01587,-0.09434
0.96711,0.59064,0.03175,-0.11321
0.98026,0.55556,0.00000,-0.09434
0.98026,0.52632,0.00000,-0.07547
0.98026,0.50292,0.00000,-0.05660
0.98026,0.48538,0.00000,-0.07547
0.98026,0.46199,0.00000,0.00000
0.98026,0.46199,-0.01587,-0.03774
0.97368,0.45029,-0.03175,0.01887
0.96053,0.45614,-0.01587,0.01887
0.95395,0.46199,-0.03175,0.05660
0.94079,0.47953,-0.04762,0.05660
0.92105,0.49708,-0.03175,0.03774
0.90789,0.50877,-0.06349,0.09434
0.88158,0.53801,-0.04762,0.09434
0.86184,0.56725,-0.03175,0.07547
0.84868,0.59064,-0.04762,0.07547
0.82895,0.61404,-0.09524,0.11321
0.78947,0.64912,-0.07937,0.09434
0.75658,0.67836,-0.06349,0.09434
0.73026,0.70760,-0.04762,0.01887
0.71053,0.71345,-0.09524,0.11321
0.67105,0.74854,-0.03175,0.01887
0.65789,0.75439,-0.07937,0.07547
0.62500,0.77778,-0.07937,0.05660
0.59211,0.79532,-0.11111,0.07547
0.54605,0.81871,-0.04762,0.01887
0.52632,0.82456,-0.11111,0.03774
0.48026,0.83626,-0.07937,0.01887
0.44737,0.84211,-0.09524,0.00000
0.40789,0.84211,-0.06349,-0.03774
0.38158,0.83041,-0.12698,-0.05660
0.32895,0.81287,-0.06349,-0.05660
0.30263,0.79532,-0.06349,-0.03774
0.27632,0.78363,-0.11111,-0.11321
0.23026,0.74854,-0.04762,-0.09434
0.21053,0.71930,-0.09524,-0.07547
0.17105,0.69591,-0.01587,-0.09434
0.16447,0.66667,-0.06349,-0.15094
0.13816,0.61988,-0.04762,-0.13208
0.11842,0.57895,-0.01587,-0.07547
0.11184,0.55556,-0.03175,-0.15094
0.09868,0.50877,0.00000,-0.07547
0.09868,0.48538,-0.01587,-0.11321
0.09211,0.45029,0.00000,-0.09434
0.09211,0.42105,0.01587,-0.09434
0.09868,0.39181,0.00000,-0.05660
0.09868,0.37427,0.01587,-0.05660
0.10526,0.35673,0.00000,-0.05660
0.10526,0.33918,0.01587,-0.01887
0.11184,0.33333,0.01587,-0.01887
0.11842,0.32749,-0.01587,0.01887
0.11184,0.33333,0.00000,0.03774
0.11184,0.34503,0.00000,0.07547
0.11184,0.36842,-0.01587,0.07547
0.10526,0.39181,-0.01587,0.13208
0.09868,0.43275,0.00000,0.07547
0.09868,0.45614,-0.01587,0.16981
0.09211,0.50877,0.00000,0.11321
0.09211,0.54386,0.03175,0.22642
0.10526,0.61404,0.03175,0.16981
0.11842,0.66667,0.04762,0.16981
0.13816,0.71930,0.06349,0.15094
0.16447,0.76608,0.06349,0.13208
0.19079,0.80702,0.07937,0.13208
0.22368,0.84795,0.04762,0.07547
0.24342,0.87135,0.12698,0.15094
0.29605,0.91813,0.04762,0.03774
0.31579,0.92982,0.11111,0.09434
0.36184,0.95906,0.12698,0.03774
0.41447,0.97076,0.07937,0.05660
0.44737,0.98830,0.17460,0.01887
0.51974,0.99415,0.09524,-0.03774
0.55921,0.98246,0.03175,-0.01887
0.57237,0.97661,0.15873,-0.16981
0.63816,0.92398,0.06349,-0.16981
0.66447,0.87135,0.07937,-0.16981
0.69737,0.81871,0.01587,-0.09434
0.70395,0.78947,0.06349,-0.22642
0.73026,0.71930,0.04762,-0.22642
0.75000,0.64912,0.09524,-0.45283
0.78947,0.50877,0.07937,-0.47170
0.82237,0.36257,0.01587,-0.07547
0.82895,0.33918,0.01587,-0.30189
0.83553,0.24561,0.01587,-0.11321
0.84211,0.21053,0.00000,-0.07547
0.84211,0.18713,0.01587,-0.07547
0.84868,0.16374,0.01587,-0.01887
0.85526,0.15789,-0.01587,-0.01887
0.84868,0.15205,-0.01587,0.00000
0.84211,0.15205,-0.01587,0.00000
0.83553,0.15205,-0.03175,0.01887
0.82237,0.15789,0.01587,0.01887
0.82895,0.16374,-0.01587,0.05660
0.82237,0.18129,-0.03175,0.05660
0.80921,0.19883,0.01587,0.07547
0.81579,0.22222,-0.03175,0.16981
0.80263,0.27485,-0.01587,0.09434
0.79605,0.30409,-0.04762,0.22642
0.77632,0.37427,-0.03175,0.26415
0.76316,0.45614,-0.01587,0.15094
0.75658,0.50292,-0.01587,0.18868
0.75000,0.56140,0.00000,0.07547
0.75000,0.58480,-0.03175,0.26415
0.73684,0.66667,0.00000,0.16981
0.73684,0.71930,0.00000,0.07547
0.73684,0.74269,0.00000,0.24528
0.73684,0.81871,0.01587,0.07547
0.74342,0.84211,0.00000,0.22642
0.74342,0.91228,0.03175,0.07547
0.75658,0.93567,-0.01587,0.13208
0.75000,0.97661,0.00000,0.05660
0.75000,0.99415,0.14286,-0.03774
0.80921,0.98246,0.04762,-0.13208
0.82895,0.94152,0.01587,-0.07547
0.83553,0.91813,0.06349,-0.13208
0.86184,0.87719,0.04762,-0.15094
0.88158,0.83041,0.09524,-0.26415
0.92105,0.74854,0.04762,-0.15094
0.94079,0.70175,0.06349,-0.16981
0.96711,0.64912,0.00000,-0.07547
0.96711,0.62573,0.04762,-0.11321
0.98684,0.59064,0.01587,-0.11321
0.99342,0.55556,0.00000,-0.11321
0.99342,0.52047,0.00000,-0.07547
0.99342,0.49708,0.01587,-0.07547
1.00000,0.47368,0.00000,-0.03774
1.00000,0.46199,-0.01587,-0.01887
0.99342,0.45614,0.00000,-0.01887
0.99342,0.45029,-0.01587,0.01887
0.98684,0.45614,-0.03175,0.03774
0.97368,0.46784,-0.01587,0.03774
0.96711,0.47953,-0.01587,0.07547
0.96053,0.50292,-0.04762,0.05660
0.94079,0.52047,-0.04762,0.07547
0.92105,0.54386,-0.04762,0.13208
0.90132,0.58480,-0.03175,0.05660
0.88816,0.60234,-0.06349,0.07547
0.86184,0.62573,-0.06349,0.09434
0.83553,0.65497,-0.06349,0.11321
0.80921,0.69006,-0.07937,0.07547
0.77632,0.71345,-0.07937,0.07547
0.74342,0.73684,-0.12698,0.09434
0.69079,0.76608,-0.09524,0.07547
0.65132,0.78947,-0.09524,0.03774
0.61184,0.80117,-0.07937,0.03774
0.57895,0.81287,-0.07937,0.01887
0.54605,0.81871,-0.09524,0.01887
0.50658,0.82456,-0.09524,0.01887
0.46711,0.83041,-0.12698,0.00000
0.41447,0.83041,-0.09524,-0.05660
0.37500,0.81287,-0.06349,-0.01887
0.34868,0.80702,-0.12698,-0.05660
0.29605,0.78947,-0.07937,-0.09434
0.26316,0.76023,-0.07937,-0.07547
0.23026,0.73684,-0.01587,-0.05660
0.22368,0.71930,-0.07937,-0.13208
0.19079,0.67836,-0.04762,-0.11321
0.17105,0.64327,-0.03175,-0.09434
0.15789,0.61404,-0.04762,-0.15094
0.13816,0.56725,-0.03175,-0.13208
0.12500,0.52632,0.00000,-0.07547
0.12500,0.50292,-0.01587,-0.13208
0.11842,0.46199,0.00000,-0.09434
0.11842,0.43275,0.01587,-0.09434
0.12500,0.40351,0.01587,-0.09434
0.13158,0.37427,0.01587,-0.07547
0.13816,0.35088,0.01587,-0.05660
0.14474,0.33333,0.03175,-0.03774
0.15789,0.32164,0.00000,-0.01887
0.15789,0.31579,0.00000,0.00000
0.15789,0.31579,0.01587,0.01887
0.16447,0.32164,-0.01587,0.05660
0.15789,0.33918,-0.01587,0.07547
0.15132,0.36257,-0.03175,0.13208
0.13816,0.40351,0.00000,0.11321
0.13816,0.43860,-0.01587,0.16981
0.13158,0.49123,0.00000,0.07547
0.13158,0.51462,0.01587,0.24528
