# X, Y, VelX, VelY |[481.;224.;  0.;  0.][759.;589.;741.;553.]
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.00000,0.00000
0.64163,0.13073,0.32659,0.89693
0.96047,0.97284,0.00000,0.00000
0.96047,0.97284,0.02429,-0.03255
0.98419,0.94228,0.00000,0.00000
0.98419,0.94228,0.00000,0.00000
0.98419,0.94228,0.00000,0.00000
0.98419,0.94228,0.00000,0.00000
0.98419,0.94228,0.00000,0.00000
0.98419,0.94228,0.01215,-0.20796
0.99605,0.74703,-0.00675,-0.01989
0.98946,0.72835,-0.00540,-0.00723
0.98419,0.72156,-0.00810,0.00542
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,0.00000,0.00000
0.97628,0.72666,-1.00000,-0.18987
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.00000,0.00000
0.00000,0.54839,0.65857,-0.51356
0.64295,0.06621,-0.00135,-0.00542
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.00000,0.00000
0.64163,0.06112,0.35762,1.00000
0.99078,1.00000,0.00945,-0.01085
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,0.00000,0.00000
1.00000,0.98981,-0.00135,-0.35443
0.99868,0.65705,-0.00405,0.00181
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
0.99473,0.65874,0.00000,0.00000
