# X, Y, VelX, VelY |[169.; 47.;  0.;  0.][293.;307.; 27.; 23.]
0.34812,0.11401,0.37037,0.04348
0.38225,0.11726,0.40741,0.08696
0.41980,0.12378,0.38889,0.13043
0.45563,0.13355,0.50000,0.08696
0.50171,0.14007,0.40741,0.04348
0.53925,0.14332,0.40741,0.08696
0.57679,0.14984,0.44444,0.08696
0.61775,0.15635,0.37037,0.08696
0.65188,0.16287,0.37037,0.04348
0.68601,0.16612,0.33333,0.04348
0.71672,0.16938,0.33333,0.04348
0.74744,0.17264,0.29630,0.00000
0.77474,0.17264,0.33333,0.04348
0.80546,0.17590,0.25926,0.00000
0.82935,0.17590,0.29630,0.04348
0.85666,0.17915,0.29630,0.00000
0.88396,0.17915,0.25926,0.00000
0.90785,0.17915,0.25926,0.00000
0.93174,0.17915,0.18519,0.00000
0.94881,0.17915,0.18519,-0.04348
0.96587,0.17590,0.14815,0.00000
0.97952,0.17590,0.11111,0.04348
0.98976,0.17915,0.03704,0.13043
0.99317,0.18893,0.00000,0.17391
0.99317,0.20195,-0.07407,0.21739
0.98635,0.21824,-0.11111,0.30435
0.97611,0.24104,-0.11111,0.34783
0.96587,0.26710,-0.11111,0.43478
0.95563,0.29967,-0.11111,0.47826
0.94539,0.33550,-0.03704,0.47826
0.94198,0.37134,-0.07407,0.52174
0.93515,0.41042,0.00000,0.56522
0.93515,0.45277,-0.03704,0.52174
0.93174,0.49186,-0.03704,0.56522
0.92833,0.53420,0.00000,0.47826
0.92833,0.57003,0.00000,0.52174
0.92833,0.60912,0.00000,0.47826
0.92833,0.64495,0.00000,0.43478
0.92833,0.67752,0.03704,0.43478
0.93174,0.71010,0.07407,0.43478
0.93857,0.74267,0.03704,0.34783
0.94198,0.76873,0.03704,0.34783
0.94539,0.79479,0.03704,0.30435
0.94881,0.81759,0.03704,0.21739
0.95222,0.83388,0.00000,0.17391
0.95222,0.84691,0.00000,0.13043
0.95222,0.85668,-0.03704,0.13043
0.94881,0.86645,-0.03704,0.08696
0.94539,0.87296,0.00000,0.08696
0.94539,0.87948,-0.03704,0.04348
0.94198,0.88274,-0.07407,0.04348
0.93515,0.88599,-0.11111,0.04348
0.92491,0.88925,-0.18519,0.00000
0.90785,0.88925,-0.18519,0.08696
0.89078,0.89577,-0.29630,0.00000
0.86348,0.89577,-0.33333,0.08696
0.83276,0.90228,-0.40741,0.08696
0.79522,0.90879,-0.44444,0.08696
0.75427,0.91531,-0.48148,0.04348
0.70990,0.91857,-0.48148,0.08696
0.66553,0.92508,-0.51852,0.04348
0.61775,0.92834,-0.62963,0.00000
0.55973,0.92834,-0.53704,-0.06522
0.51024,0.92345,-0.51852,0.10870
0.46246,0.93160,-0.33333,-0.17391
0.43174,0.91857,-0.64815,-0.04348
0.37201,0.91531,-0.40741,-0.15217
0.33447,0.90391,-0.48148,0.00000
0.29010,0.90391,-0.33333,0.08696
0.25939,0.91042,-0.33333,-0.17391
0.22867,0.89739,-0.40741,-0.08696
0.19113,0.89088,-0.31481,-0.10870
0.16212,0.88274,-0.27778,-0.08696
0.13652,0.87622,-0.18519,-0.13043
0.11945,0.86645,-0.11111,-0.13043
0.10922,0.85668,-0.07407,-0.17391
0.10239,0.84365,-0.07407,-0.13043
0.09556,0.83388,0.00000,-0.26087
0.09556,0.81433,0.00000,-0.30435
0.09556,0.79153,0.00000,-0.39130
0.09556,0.76221,0.00000,-0.52174
0.09556,0.72313,0.03704,-0.52174
0.09898,0.68404,0.03704,-0.60870
0.10239,0.63844,0.03704,-0.60870
0.10580,0.59283,0.00000,-0.65217
0.10580,0.54397,0.03704,-0.60870
0.10922,0.49837,0.03704,-0.60870
0.11263,0.45277,0.03704,-0.60870
0.11604,0.40717,0.07407,-0.56522
0.12287,0.36482,0.11111,-0.56522
0.13311,0.32248,0.03704,-0.52174
0.13652,0.28339,0.07407,-0.47826
0.14334,0.24756,0.14815,-0.47826
0.15700,0.21173,0.07407,-0.39130
0.16382,0.18241,0.07407,-0.34783
0.17065,0.15635,0.11111,-0.30435
0.18089,0.13355,0.03704,-0.26087
0.18430,0.11401,0.07407,-0.17391
0.19113,0.10098,0.14815,-0.04348
0.20478,0.09772,0.18519,-0.04348
0.22184,0.09446,0.22222,0.04348
0.24232,0.09772,0.29630,0.08696
0.26962,0.10423,0.33333,0.04348
0.30034,0.10749,0.33333,0.08696
0.33106,0.11401,0.40741,0.04348
0.36860,0.11726,0.40741,0.08696
0.40614,0.12378,0.40741,0.04348
0.44369,0.12704,0.44444,0.04348
0.48464,0.13029,0.48148,0.08696
0.52901,0.13681,0.44444,0.08696
0.56997,0.14332,0.35185,0.15217
0.60239,0.15472,0.55556,0.02174
0.65358,0.15635,0.38889,0.00000
0.68942,0.15635,0.40741,0.06522
0.72696,0.16124,0.33333,0.06522
0.75768,0.16612,0.40741,0.04348
0.79522,0.16938,0.33333,0.00000
0.82594,0.16938,0.29630,0.00000
0.85324,0.16938,0.29630,0.00000
0.88055,0.16938,0.22222,0.00000
0.90102,0.16938,0.22222,-0.04348
0.92150,0.16612,0.18519,0.00000
0.93857,0.16612,0.14815,0.00000
0.95222,0.16612,0.11111,0.04348
0.96246,0.16938,0.07407,0.04348
0.96928,0.17264,0.00000,0.08696
0.96928,0.17915,-0.03704,0.13043
0.96587,0.18893,-0.07407,0.21739
0.95904,0.20521,-0.11111,0.21739
0.94881,0.22150,-0.14815,0.30435
0.93515,0.24430,-0.11111,0.39130
0.92491,0.27362,-0.11111,0.43478
0.91468,0.30619,-0.07407,0.47826
0.90785,0.34202,-0.07407,0.47826
0.90102,0.37785,-0.03704,0.52174
0.89761,0.41694,-0.07407,0.60870
0.89078,0.46254,0.00000,0.56522
0.89078,0.50489,0.00000,0.60870
0.89078,0.55049,0.07407,0.60870
0.89761,0.59609,0.00000,0.60870
0.89761,0.64169,0.03704,0.56522
0.90102,0.68404,0.03704,0.56522
0.90444,0.72638,0.00000,0.52174
0.90444,0.76547,0.03704,0.47826
0.90785,0.80130,0.07407,0.43478
0.91468,0.83388,0.03704,0.43478
0.91809,0.86645,0.03704,0.30435
0.92150,0.88925,-0.03704,0.13043
0.91809,0.89902,-0.07407,0.04348
0.91126,0.90228,-0.11111,-0.04348
0.90102,0.89902,-0.22222,-0.13043
0.88055,0.88925,-0.25926,-0.17391
0.85666,0.87622,-0.29630,-0.17391
0.82935,0.86319,-0.29630,-0.13043
0.80205,0.85342,-0.35185,-0.15217
0.76962,0.84202,-0.29630,-0.21739
0.74232,0.82573,-0.64815,0.17391
0.68259,0.83876,-0.53704,-0.15217
0.63311,0.82736,-0.31481,-0.19565
0.60410,0.81270,-0.46296,-0.08696
0.56143,0.80619,-0.46296,0.06522
0.51877,0.81107,-0.50000,0.04348
0.47270,0.81433,-0.46296,-0.06522
0.43003,0.80945,-0.48148,0.10870
0.38567,0.81759,-0.46296,-0.13043
0.34300,0.80782,-0.59259,-0.02174
