# X, Y, VelX, VelY |[ 85. ;192.5;  0. ;  0. ][455. ; 38.5; 21. ;  4. ]
0.35165,0.27273,-0.66667,0.00000
0.32088,0.27273,-0.66667,0.00000
0.29011,0.27273,-0.61905,0.00000
0.26154,0.27273,-0.61905,0.00000
0.23297,0.27273,-0.57143,0.00000
0.20659,0.27273,-0.57143,0.00000
0.18022,0.27273,-0.57143,0.00000
0.15385,0.27273,-0.42857,0.00000
0.13407,0.27273,-0.47619,0.00000
0.11209,0.27273,-0.38095,-0.25000
0.09451,0.24675,-0.28571,0.00000
0.08132,0.24675,-0.23810,0.00000
0.07033,0.24675,-0.09524,0.00000
0.06593,0.24675,-0.04762,0.00000
0.06374,0.24675,0.00000,-0.25000
0.06374,0.22078,0.14286,-0.25000
0.07033,0.19481,0.00000,0.00000
0.97363,0.58442,-0.19048,0.00000
0.96484,0.58442,-0.28571,-0.25000
0.95165,0.55844,-0.38095,-0.25000
0.93407,0.53247,-0.47619,-0.25000
0.91209,0.50649,-0.57143,-0.25000
0.88571,0.48052,-0.61905,0.00000
0.85714,0.48052,-0.66667,-0.25000
0.82637,0.45455,-0.71429,0.00000
0.79341,0.45455,-0.76190,0.00000
0.75824,0.45455,-0.85714,-0.25000
0.71868,0.42857,-0.80952,-0.25000
0.68132,0.40260,-0.85714,0.00000
0.64176,0.40260,-0.85714,0.00000
0.60220,0.40260,-0.85714,-0.25000
0.56264,0.37662,-0.85714,0.00000
0.52308,0.37662,-0.90476,-0.25000
0.48132,0.35065,-0.85714,-0.25000
0.44176,0.32468,-0.80952,0.00000
0.40440,0.32468,-0.76190,-0.25000
0.36923,0.29870,-0.71429,0.00000
0.33626,0.29870,-0.66667,-0.25000
0.30549,0.27273,-0.66667,-0.25000
0.27473,0.24675,-0.66667,0.00000
0.24396,0.24675,-0.66667,0.00000
0.21319,0.24675,-0.66667,-0.25000
0.18242,0.22078,-0.71429,0.25000
0.14945,0.24675,-0.71429,-0.25000
0.11648,0.22078,-0.76190,0.00000
0.08132,0.22078,-0.61905,-0.25000
0.05275,0.19481,-0.47619,0.00000
0.03077,0.19481,-0.47619,-0.25000
0.00879,0.16883,-0.19048,0.25000
0.00000,0.19481,0.04762,-0.25000
0.00220,0.16883,0.00000,0.00000
0.95165,0.50649,-0.09524,0.25000
0.94725,0.53247,-0.19048,0.00000
0.93846,0.53247,-0.38095,0.00000
0.92088,0.53247,-0.42857,0.00000
0.90110,0.53247,-0.52381,0.00000
0.87692,0.53247,-0.57143,0.00000
0.85055,0.53247,-0.66667,0.00000
0.81978,0.53247,-0.71429,-0.25000
0.78681,0.50649,-0.80952,0.00000
0.74945,0.50649,-0.80952,0.00000
0.71209,0.50649,-0.90476,0.00000
0.67033,0.50649,-0.90476,-0.50000
0.62857,0.45455,-0.90476,-0.25000
0.58681,0.42857,-0.90476,-0.75000
0.54505,0.35065,-0.85714,-0.50000
0.50549,0.29870,-0.80952,-0.50000
0.46813,0.24675,-0.80952,-0.25000
0.43077,0.22078,-0.80952,-0.50000
0.39341,0.16883,-0.76190,0.00000
0.35824,0.16883,-0.76190,-0.25000
0.32308,0.14286,-0.71429,-0.25000
0.29011,0.11688,-0.71429,0.00000
0.25714,0.11688,-0.66667,0.25000
0.22637,0.14286,-0.66667,0.25000
0.19560,0.16883,-0.61905,0.00000
0.16703,0.16883,-0.61905,0.25000
0.13846,0.19481,-0.52381,0.00000
0.11429,0.19481,-0.47619,0.00000
0.09231,0.19481,-0.38095,0.00000
0.07473,0.19481,-0.33333,0.00000
0.05934,0.19481,-0.28571,0.25000
0.04615,0.22078,-0.19048,0.00000
0.03736,0.22078,-0.04762,0.00000
0.03516,0.22078,0.00000,0.00000
0.03516,0.22078,0.09524,0.00000
0.03956,0.22078,0.00000,0.00000
0.93626,0.74026,-0.14286,-0.25000
0.92967,0.71429,-0.23810,0.00000
0.91868,0.71429,-0.38095,-0.25000
0.90110,0.68831,-0.42857,0.00000
0.88132,0.68831,-0.52381,-0.25000
0.85714,0.66234,-0.61905,0.00000
0.82857,0.66234,-0.71429,0.00000
0.79560,0.66234,-0.76190,0.00000
0.76044,0.66234,-0.76190,-0.25000
0.72527,0.63636,-0.85714,0.00000
0.68571,0.63636,-0.80952,0.00000
0.64835,0.63636,-0.85714,-0.25000
0.60879,0.61039,-0.85714,0.00000
0.56923,0.61039,-0.85714,-0.25000
0.52967,0.58442,-0.80952,-0.25000
0.49231,0.55844,-0.85714,-0.25000
0.45275,0.53247,-0.76190,-0.25000
0.41758,0.50649,-0.80952,-0.25000
0.38022,0.48052,-0.71429,-0.25000
0.34725,0.45455,-0.71429,-0.25000
0.31429,0.42857,-0.66667,-0.25000
0.28352,0.40260,-0.66667,-0.25000
0.25275,0.37662,-0.61905,0.00000
0.22418,0.37662,-0.61905,-0.25000
0.19560,0.35065,-0.61905,-0.25000
0.16703,0.32468,-0.61905,0.00000
0.13846,0.32468,-0.52381,0.00000
0.11429,0.32468,-0.52381,-0.25000
0.09011,0.29870,-0.33333,0.00000
0.07473,0.29870,-0.09524,0.00000
0.07033,0.29870,0.00000,0.00000
0.90769,0.76623,-0.23810,0.00000
0.89670,0.76623,-0.42857,-0.25000
0.87692,0.74026,-0.47619,-0.25000
0.85495,0.71429,-0.52381,-0.25000
0.83077,0.68831,-0.66667,0.00000
0.80000,0.68831,-0.71429,0.00000
0.76703,0.68831,-0.76190,0.25000
0.73187,0.71429,-0.80952,0.25000
0.69451,0.74026,-0.85714,0.00000
0.65495,0.74026,-0.90476,0.25000
0.61319,0.76623,-0.90476,0.25000
0.57143,0.79221,-0.90476,-0.25000
0.52967,0.76623,-0.95238,-0.25000
0.48571,0.74026,-0.85714,-0.50000
0.44615,0.68831,-0.85714,-0.50000
0.40659,0.63636,-0.80952,-0.75000
0.36923,0.55844,-0.76190,-0.25000
0.33407,0.53247,-0.71429,-0.50000
0.30110,0.48052,-0.66667,-0.25000
0.27033,0.45455,-0.66667,0.00000
0.23956,0.45455,-0.57143,0.00000
0.21319,0.45455,-0.52381,0.00000
0.18901,0.45455,-0.52381,0.00000
0.16484,0.45455,-0.52381,0.00000
0.14066,0.45455,-0.42857,0.00000
0.12088,0.45455,-0.19048,0.00000
0.11209,0.45455,-0.04762,0.00000
0.10989,0.45455,0.09524,-0.25000
0.11429,0.42857,0.14286,-0.50000
0.12088,0.37662,0.28571,-0.25000
0.13407,0.35065,0.00000,0.00000
1.00000,0.97403,-0.09524,0.25000
0.99560,1.00000,-0.19048,-0.25000
0.98681,0.97403,-0.28571,-0.25000
