# X, Y, VelX, VelY |[221.;103.;  0.;  0.][238. ;229. ; 18. ; 18.5]
0.83613,0.21834,0.33333,0.54054
0.86134,0.26201,0.33333,0.54054
0.88655,0.30568,0.22222,0.54054
0.90336,0.34934,0.11111,0.59459
0.91176,0.39738,0.11111,0.54054
0.92017,0.44105,0.00000,0.59459
0.92017,0.48908,-0.05556,0.54054
0.91597,0.53275,-0.16667,0.59459
0.90336,0.58079,-0.16667,0.54054
0.89076,0.62445,-0.22222,0.54054
0.87395,0.66812,-0.27778,0.48649
0.85294,0.70742,-0.33333,0.48649
0.82773,0.74672,-0.44444,0.43243
0.79412,0.78166,-0.44444,0.43243
0.76050,0.81659,-0.50000,0.43243
0.72269,0.85153,-0.61111,0.37838
0.67647,0.88210,-0.66667,0.27027
0.62605,0.90393,-0.66667,0.21622
0.57563,0.92140,-0.77778,0.10811
0.51681,0.93013,-0.69444,0.08108
0.46429,0.93668,-0.77778,0.08108
0.40546,0.94323,-0.86111,-0.27027
0.34034,0.92140,-0.83333,-0.27027
0.27731,0.89956,-0.75000,-0.32432
0.22059,0.87336,-0.83333,-0.56757
0.15756,0.82751,-0.41667,-0.72973
0.12605,0.76856,-0.38889,-0.81081
0.09664,0.70306,-0.27778,-0.81081
0.07563,0.63755,-0.16667,-0.86486
0.06303,0.56769,0.00000,-0.86486
0.06303,0.49782,0.11111,-0.81081
0.07143,0.43231,0.11111,-0.75676
0.07983,0.37118,0.16667,-0.75676
0.09244,0.31004,0.22222,-0.64865
0.10924,0.25764,0.38889,-0.59459
0.13866,0.20961,0.38889,-0.48649
0.16807,0.17031,0.44444,-0.43243
0.20168,0.13537,0.44444,-0.37838
0.23529,0.10480,0.55556,-0.27027
0.27731,0.08297,0.55556,-0.16216
0.31933,0.06987,0.61111,-0.16216
0.36555,0.05677,0.61111,-0.05405
0.41176,0.05240,0.61111,0.05405
0.45798,0.05677,0.66667,0.05405
0.50840,0.06114,0.63889,0.16216
0.55672,0.07424,0.63889,0.16216
0.60504,0.08734,0.66667,0.21622
0.65546,0.10480,0.66667,0.32432
0.70588,0.13100,0.55556,0.37838
0.74790,0.16157,0.55556,0.37838
0.78992,0.19214,0.55556,0.48649
0.83193,0.23144,0.38889,0.54054
0.86134,0.27511,0.38889,0.59459
0.89076,0.32314,0.27778,0.70270
0.91176,0.37991,0.22222,0.64865
0.92857,0.43231,0.11111,0.75676
0.93697,0.49345,0.05556,0.75676
0.94118,0.55459,-0.05556,0.75676
0.93697,0.61572,-0.11111,0.70270
0.92857,0.67249,-0.16667,0.59459
0.91597,0.72052,-0.33333,0.54054
0.89076,0.76419,-0.38889,0.37838
0.86134,0.79476,-0.44444,0.32432
0.82773,0.82096,-0.55556,0.27027
0.78571,0.84279,-0.66667,0.16216
0.73529,0.85590,-0.66667,0.10811
0.68487,0.86463,-0.77778,0.05405
0.62605,0.86900,-0.77778,-0.05405
0.56723,0.86463,-0.83333,-0.10811
0.50420,0.85590,-0.77778,-0.16216
0.44538,0.84279,-0.72222,-0.32432
0.39076,0.81659,-0.72222,-0.29730
0.33613,0.79258,-0.69444,-0.54054
0.28361,0.74891,-0.52778,-0.67568
0.24370,0.69432,-0.44444,-0.70270
0.21008,0.63755,-0.27778,-0.70270
0.18908,0.58079,-0.16667,-0.75676
0.17647,0.51965,-0.11111,-0.75676
0.16807,0.45852,0.00000,-0.81081
0.16807,0.39301,0.11111,-0.75676
0.17647,0.33188,0.22222,-0.70270
0.19328,0.27511,0.22222,-0.64865
0.21008,0.22271,0.33333,-0.54054
0.23529,0.17904,0.38889,-0.48649
0.26471,0.13974,0.44444,-0.37838
0.29832,0.10917,0.50000,-0.32432
0.33613,0.08297,0.50000,-0.27027
0.37395,0.06114,0.50000,-0.16216
