# X, Y, VelX, VelY |[ 86.;106.;  0.;  0.][242.;306.; 88.;144.]
0.85124,0.75163,0.00000,0.15278
0.85124,0.82353,0.02273,0.04167
0.85950,0.84314,0.00000,0.04167
0.85950,0.86275,0.00000,0.00000
0.85950,0.86275,0.02273,-0.02778
0.86777,0.84967,0.09091,-0.36111
0.90083,0.67974,0.00000,-0.02778
0.90083,0.66667,0.00000,-0.18056
0.90083,0.58170,-0.04545,-0.06944
0.88430,0.54902,-0.04545,-0.04167
0.86777,0.52941,-0.06818,0.00000
0.84298,0.52941,-0.02273,0.00000
0.83471,0.52941,-0.11364,0.02778
0.79339,0.54248,-0.09091,0.02778
0.76033,0.55556,-0.11364,0.06944
0.71901,0.58824,-0.02273,0.02778
0.71074,0.60131,-0.15909,0.08333
0.65289,0.64052,-0.09091,0.05556
0.61983,0.66667,-0.13636,0.06944
0.57025,0.69935,-0.02273,0.01389
0.56198,0.70588,-0.11364,0.05556
0.52066,0.73203,-0.13636,0.04167
0.47107,0.75163,-0.11364,0.04167
0.42975,0.77124,-0.47727,0.01389
0.25620,0.77778,-0.25000,-0.08333
0.16529,0.73856,-0.04545,-0.02778
0.14876,0.72549,-0.09091,-0.06944
0.11570,0.69281,-0.11364,-0.11111
0.07438,0.64052,-0.06818,-0.31944
0.04959,0.49020,0.04545,-0.15278
0.06612,0.41830,0.00000,-0.04167
0.06612,0.39869,0.02273,-0.06944
0.07438,0.36601,0.02273,-0.01389
0.08264,0.35948,0.00000,0.00000
0.08264,0.35948,0.00000,0.02778
0.08264,0.37255,-0.02273,0.02778
0.07438,0.38562,-0.02273,0.04167
0.06612,0.40523,-0.04545,0.06944
0.04959,0.43791,-0.02273,0.06944
0.04132,0.47059,0.04545,0.11111
0.05785,0.52288,0.06818,0.27778
0.08264,0.65359,0.15909,0.22222
0.14050,0.75817,0.22727,0.18056
0.22314,0.84314,0.04545,0.02778
0.23967,0.85621,0.29545,0.15278
0.34711,0.92810,0.09091,0.02778
0.38017,0.94118,0.81818,0.01389
0.67769,0.94771,0.00000,0.00000
0.90083,0.13725,0.00000,-0.08333
0.90083,0.09804,0.00000,-0.06944
0.90083,0.06536,0.00000,-0.04167
0.90083,0.04575,0.00000,-0.01389
0.90083,0.03922,0.00000,-0.01389
0.90083,0.03268,0.00000,0.00000
0.90083,0.03268,-0.02273,0.02778
0.89256,0.04575,0.02273,0.13889
0.90083,0.11111,-0.09091,0.45833
0.86777,0.32680,0.00000,0.02778
0.86777,0.33987,0.00000,0.15278
0.86777,0.41176,-0.02273,0.26389
0.85950,0.53595,0.00000,0.18056
0.85950,0.62092,0.00000,0.13889
0.85950,0.68627,0.00000,0.19444
0.85950,0.77778,-0.02273,0.12500
0.85124,0.83660,0.02273,0.04167
