# X, Y, VelX, VelY |[  2.;162.;  0.;  0.][290.;314.;102.; 48.]
0.93103,0.43312,-0.03922,0.33333
0.91724,0.48408,-0.01961,0.29167
0.91034,0.52866,-0.01961,0.25000
0.90345,0.56688,-0.03922,0.33333
0.88966,0.61783,-0.03922,0.16667
0.87586,0.64331,-0.05882,0.33333
0.85517,0.69427,-0.01961,0.12500
0.84828,0.71338,-0.05882,0.29167
0.82759,0.75796,-0.13725,0.29167
0.77931,0.80255,-0.01961,0.08333
0.77241,0.81529,-0.13725,0.25000
0.72414,0.85350,-0.09804,0.16667
0.68966,0.87898,-0.03922,0.04167
0.67586,0.88535,-0.09804,0.12500
0.64138,0.90446,-0.11765,0.12500
0.60000,0.92357,-0.11765,0.08333
0.55862,0.93631,-0.17647,0.08333
0.49655,0.94904,-0.09804,0.04167
0.46207,0.95541,-0.11765,0.00000
0.42069,0.95541,-0.11765,0.00000
0.37931,0.95541,-0.05882,-0.04167
0.35862,0.94904,-0.13725,0.00000
0.31034,0.94904,-0.07843,-0.08333
0.28276,0.93631,-0.13725,-0.08333
0.23448,0.92357,-0.05882,-0.12500
0.21379,0.90446,-0.07843,-0.08333
0.18621,0.89172,-0.09804,-0.08333
0.15172,0.87898,-0.05882,-0.12500
0.13103,0.85987,-0.09804,-0.08333
0.09655,0.84713,-0.05882,-0.16667
0.07586,0.82166,-0.03922,-0.12500
0.06207,0.80255,-0.03922,-0.12500
0.04828,0.78344,-0.03922,-0.16667
0.03448,0.75796,-0.01961,-0.16667
0.02759,0.73248,-0.03922,-0.12500
0.01379,0.71338,0.00000,-0.12500
0.01379,0.69427,-0.01961,-0.25000
0.00690,0.65605,-0.01961,-0.08333
0.00000,0.64331,0.00000,-0.08333
0.00000,0.63057,0.00000,-0.08333
0.00000,0.61783,0.00000,-0.08333
0.00000,0.60510,0.01961,0.00000
0.00690,0.60510,0.01961,0.00000
0.01379,0.60510,0.01961,0.04167
0.02069,0.61146,0.00000,0.08333
0.02069,0.62420,0.01961,0.08333
0.02759,0.63694,0.01961,0.20833
0.03448,0.66879,0.01961,0.16667
0.04138,0.69427,0.01961,0.12500
0.04828,0.71338,0.01961,0.25000
0.05517,0.75159,0.03922,0.16667
0.06897,0.77707,0.05882,0.25000
0.08966,0.81529,0.03922,0.20833
0.10345,0.84713,0.05882,0.20833
0.12414,0.87898,0.07843,0.20833
0.15172,0.91083,0.13725,0.29167
0.20000,0.95541,0.05882,0.16667
0.22069,0.98089,0.11765,0.12500
0.26207,1.00000,1.00000,-0.16667
0.61379,0.97452,0.03922,-0.08333
0.62759,0.96178,0.17647,-0.50000
0.68966,0.88535,0.11765,-0.33333
0.73103,0.83439,0.07843,-0.41667
0.75862,0.77070,0.03922,-0.16667
0.77241,0.74522,0.07843,-0.41667
0.80000,0.68153,0.07843,-0.41667
0.82759,0.61783,0.09804,-0.58333
0.86207,0.52866,0.01961,-0.20833
0.86897,0.49682,0.05882,-0.37500
0.88966,0.43949,0.07843,-0.54167
0.91724,0.35669,0.03922,-0.29167
0.93103,0.31210,0.01961,-0.29167
0.93793,0.26752,0.03922,-0.20833
0.95172,0.23567,0.01961,-0.29167
0.95862,0.19108,0.01961,-0.16667
0.96552,0.16561,0.01961,-0.29167
0.97241,0.12102,0.01961,-0.20833
0.97931,0.08917,-0.01961,-0.12500
0.97241,0.07006,0.00000,-0.16667
0.97241,0.04459,-0.01961,-0.08333
0.96552,0.03185,0.00000,-0.08333
0.96552,0.01911,-0.01961,0.00000
0.95862,0.01911,0.00000,-0.08333
0.95862,0.00637,0.00000,0.00000
0.95862,0.00637,0.00000,0.08333
0.95862,0.01911,-0.03922,0.00000
0.94483,0.01911,0.00000,0.00000
0.94483,0.01911,0.00000,0.04167
0.94483,0.02548,0.00000,0.12500
0.94483,0.04459,-0.01961,0.08333
0.93793,0.05732,0.00000,0.08333
0.93793,0.07006,0.01961,0.08333
0.94483,0.08280,0.00000,0.12500
0.94483,0.10191,-0.01961,0.20833
0.93793,0.13376,0.01961,0.16667
0.94483,0.15924,0.00000,0.16667
0.94483,0.18471,0.00000,0.16667
0.94483,0.21019,0.00000,0.20833
0.94483,0.24204,-0.01961,0.16667
0.93793,0.26752,0.00000,0.25000
0.93793,0.30573,-0.01961,0.33333
0.93103,0.35669,-0.01961,0.20833
0.92414,0.38854,-0.03922,0.12500
0.91034,0.40764,-0.01961,0.25000
0.90345,0.44586,-0.03922,0.16667
0.88966,0.47134,-0.01961,0.25000
0.88276,0.50955,-0.03922,0.20833
0.86897,0.54140,-0.03922,0.12500
