# X, Y, VelX, VelY |[212.; 34.;  0.;  0.][198.;322.; 22.; 20.]
0.77778,0.07453,0.63636,0.60000
0.84848,0.11180,0.36364,0.50000
0.88889,0.14286,0.36364,0.70000
0.92929,0.18634,0.18182,0.80000
0.94949,0.23602,0.09091,0.90000
0.95960,0.29193,-0.09091,0.60000
0.94949,0.32919,-0.09091,0.80000
0.93939,0.37888,-0.45455,0.60000
0.88889,0.41615,-0.45455,0.50000
0.83838,0.44720,-0.45455,0.50000
0.78788,0.47826,-0.45455,0.30000
0.73737,0.49689,-0.72727,0.20000
0.65657,0.50932,-0.54545,0.30000
0.59596,0.52795,-0.72727,0.30000
0.51515,0.54658,-0.72727,0.30000
0.43434,0.56522,-0.63636,0.20000
0.36364,0.57764,-0.63636,0.20000
0.29293,0.59006,-0.63636,0.20000
0.22222,0.60248,-0.63636,0.40000
0.15152,0.62733,-0.54545,0.40000
0.09091,0.65217,-0.36364,0.60000
0.05051,0.68944,-0.18182,0.70000
0.03030,0.73292,-0.09091,0.70000
0.02020,0.77640,0.09091,0.70000
0.03030,0.81988,0.63636,0.80000
0.10101,0.86957,0.36364,0.30000
0.14141,0.88820,0.72727,0.50000
0.22222,0.91925,0.81818,0.30000
0.31313,0.93789,0.81818,0.00000
0.40404,0.93789,0.81818,0.10000
0.49495,0.94410,0.72727,-0.20000
0.57576,0.93168,0.63636,-0.40000
0.64646,0.90683,0.63636,-0.40000
0.71717,0.88199,0.45455,-0.50000
0.76768,0.85093,0.00000,0.00000
