# X, Y, VelX, VelY |[ 74.;128.;  0.;  0.][328.;272.;108.;184.]
0.55488,0.30882,0.03704,0.01087
0.56707,0.31618,0.11111,0.05435
0.60366,0.35294,0.03704,0.04348
0.61585,0.38235,0.05556,0.04348
0.63415,0.41176,0.14815,0.09783
0.68293,0.47794,0.12963,0.14130
0.72561,0.57353,0.11111,0.18478
0.76220,0.69853,0.09259,0.16304
0.79268,0.80882,0.05556,0.03261
0.81098,0.83088,0.00000,0.05435
0.81098,0.86765,0.03704,0.01087
0.82317,0.87500,0.00000,0.01087
0.82317,0.88235,0.00000,-0.01087
0.82317,0.87500,0.00000,-0.03261
0.82317,0.85294,0.01852,-0.06522
0.82927,0.80882,0.01852,-0.06522
0.83537,0.76471,0.00000,-0.02174
0.83537,0.75000,0.00000,-0.07609
0.83537,0.69853,0.00000,-0.07609
0.83537,0.64706,0.00000,-0.11957
0.83537,0.56618,-0.09259,-0.21739
0.80488,0.41912,-0.03704,-0.03261
0.79268,0.39706,-0.03704,-0.02174
0.78049,0.38235,-0.03704,-0.02174
0.76829,0.36765,-0.03704,-0.01087
0.75610,0.36029,-0.03704,0.00000
0.74390,0.36029,-0.05556,0.00000
0.72561,0.36029,-0.03704,0.00000
0.71341,0.36029,-0.07407,0.02174
0.68902,0.37500,-0.05556,0.02174
0.67073,0.38971,-0.09259,0.05435
0.64024,0.42647,-0.05556,0.02174
0.62195,0.44118,-0.03704,0.03261
0.60976,0.46324,-0.09259,0.05435
0.57927,0.50000,-0.07407,0.05435
0.55488,0.53676,-0.09259,0.05435
0.52439,0.57353,-0.27778,0.18478
0.43293,0.69853,-0.09259,0.03261
0.40244,0.72059,-0.09259,0.03261
0.37195,0.74265,-0.07407,0.01087
0.34756,0.75000,-0.07407,0.03261
0.32317,0.77206,-0.07407,-0.01087
0.29878,0.76471,-0.29630,-0.01087
0.20122,0.75735,-0.12963,-0.03261
0.15854,0.73529,-0.05556,-0.05435
0.14024,0.69853,-0.03704,-0.04348
0.12805,0.66912,-0.03704,-0.04348
0.11585,0.63971,-0.01852,-0.04348
0.10976,0.61029,-0.03704,-0.04348
0.09756,0.58088,-0.01852,-0.05435
0.09146,0.54412,0.00000,-0.03261
0.09146,0.52206,0.00000,-0.04348
0.09146,0.49265,0.01852,-0.03261
0.09756,0.47059,0.00000,-0.02174
0.09756,0.45588,0.00000,-0.03261
0.09756,0.43382,0.03704,0.00000
0.10976,0.43382,0.01852,-0.01087
0.11585,0.42647,0.01852,0.01087
0.12195,0.43382,0.01852,0.02174
0.12805,0.44853,0.00000,0.03261
0.12805,0.47059,0.00000,0.05435
0.12805,0.50735,0.03704,0.06522
0.14024,0.55147,0.01852,0.03261
0.14634,0.57353,0.03704,0.07609
0.15854,0.62500,0.12963,0.18478
0.20122,0.75000,0.05556,0.06522
0.21951,0.79412,0.07407,0.04348
0.24390,0.82353,0.09259,0.04348
0.27439,0.85294,0.12963,0.02174
0.31707,0.86765,0.05556,0.02174
0.33537,0.88235,0.09259,0.00000
0.36585,0.88235,0.07407,-0.01087
0.39024,0.87500,0.07407,-0.02174
0.41463,0.86029,0.05556,-0.04348
0.43293,0.83088,0.14815,-0.27174
0.48171,0.64706,0.14815,-0.34783
0.53049,0.41176,0.07407,-0.18478
0.55488,0.28676,0.09259,-0.13043
0.58537,0.19853,0.00000,-0.02174
0.58537,0.18382,0.03704,-0.04348
0.59756,0.15441,0.01852,-0.03261
0.60366,0.13235,0.00000,-0.01087
